date,item_name,quantity,revenue,cost
2026-07-24,Espresso,10,1200,300
2026-07-24,Cold Coffee,12,2160,660
2026-07-24,Masala Chai,17,1360,340
2026-07-24,Veg Sandwich,8,1120,400
2026-07-24,Grilled Cheese Sandwich,7,1190,455
2026-07-24,French Fries,11,1320,440
2026-07-24,Margherita Pizza,5,1400,550
2026-07-24,Pasta Alfredo,4,1280,520
2026-07-24,Chocolate Brownie,7,1050,385
2026-07-24,Cheesecake,6,1320,540
2026-07-25,Cappuccino,13,1950,585
2026-07-25,Cafe Latte,12,1920,576
2026-07-25,Espresso,11,1320,330
2026-07-25,Cold Coffee,16,2880,880
2026-07-25,Masala Chai,22,1760,440
2026-07-25,Veg Sandwich,9,1260,450
2026-07-25,Grilled Cheese Sandwich,7,1190,455
2026-07-25,French Fries,13,1560,520
2026-07-25,Margherita Pizza,8,2240,880
2026-07-25,Pasta Alfredo,7,2240,910
2026-07-25,Chocolate Brownie,9,1350,495
2026-07-25,Cheesecake,7,1540,630
2026-07-26,Cappuccino,10,1500,450
2026-07-26,Cafe Latte,12,1920,576
2026-07-26,Espresso,9,1080,270
2026-07-26,Cold Coffee,9,1620,495
2026-07-26,Masala Chai,12,960,240
2026-07-26,Veg Sandwich,11,1540,550
2026-07-26,Grilled Cheese Sandwich,8,1360,520
2026-07-26,French Fries,10,1200,400
2026-07-26,Margherita Pizza,7,1960,770
2026-07-26,Pasta Alfredo,5,1600,650
2026-07-26,Chocolate Brownie,8,1200,440
2026-07-26,Cheesecake,5,1100,450
2026-07-27,Cappuccino,12,1800,540
2026-07-27,Cafe Latte,9,1440,432
2026-07-27,Espresso,8,960,240
2026-07-27,Cold Coffee,10,1800,550
2026-07-27,Masala Chai,10,800,200
2026-07-27,Veg Sandwich,6,840,300
2026-07-27,Grilled Cheese Sandwich,5,850,325
2026-07-27,French Fries,7,840,280
2026-07-27,Margherita Pizza,3,840,330
2026-07-27,Pasta Alfredo,3,960,390
2026-07-27,Chocolate Brownie,5,750,275
2026-07-27,Cheesecake,4,880,360
2026-07-28,Cappuccino,12,1800,540
2026-07-28,Cafe Latte,13,2080,624
2026-07-28,Espresso,8,960,240
2026-07-28,Cold Coffee,13,2340,715
2026-07-28,Masala Chai,18,1440,360
2026-07-28,Veg Sandwich,8,1120,400
2026-07-28,Grilled Cheese Sandwich,6,1020,390
2026-07-28,French Fries,8,960,320
2026-07-28,Margherita Pizza,5,1400,550
2026-07-28,Pasta Alfredo,5,1600,650
2026-07-28,Chocolate Brownie,6,900,330
2026-07-28,Cheesecake,5,1100,450
2026-07-29,Cappuccino,15,2250,675
2026-07-29,Cafe Latte,12,1920,576
2026-07-29,Espresso,9,1080,270
2026-07-29,Cold Coffee,9,1620,495
2026-07-29,Masala Chai,15,1200,300
2026-07-29,Veg Sandwich,9,1260,450
2026-07-29,Grilled Cheese Sandwich,7,1190,455
2026-07-29,French Fries,11,1320,440
2026-07-29,Margherita Pizza,4,1120,440
2026-07-29,Pasta Alfredo,4,1280,520
2026-07-29,Chocolate Brownie,8,1200,440
2026-07-29,Cheesecake,5,1100,450
2026-07-30,Cappuccino,10,1500,450
2026-07-30,Cafe Latte,14,2240,672
2026-07-30,Espresso,9,1080,270
2026-07-30,Cold Coffee,8,1440,440
2026-07-30,Masala Chai,12,960,240
2026-07-30,Veg Sandwich,8,1120,400
2026-07-30,Grilled Cheese Sandwich,6,1020,390
2026-07-30,French Fries,7,840,280
2026-07-30,Margherita Pizza,6,1680,660
2026-07-30,Pasta Alfredo,5,1600,650
2026-07-30,Chocolate Brownie,6,900,330
2026-07-30,Cheesecake,4,880,360
